gene_id,wt_4_0h_rep1,wt_4_0h_rep2,wt_4_0h_rep3,wt_4_12h_rep1,wt_4_12h_rep2,wt_4_12h_rep3,zmice1_1_4_0h_rep1,zmice1_1_4_0h_rep2,zmice1_1_4_0h_rep3,zmice1_1_4_12h_rep1,zmice1_1_4_12h_rep2,zmice1_1_4_12h_rep3
Zm00001eb175490,305,179,229,131,335,147,305,192,472,236,577,361
Zm00001eb175480,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb175470,1537,1422,1476,1445,2112,1973,2724,2554,2594,1944,2702,2152
Zm00001eb175500,2201,1371,2731,1926,3375,2774,9945,5941,5061,5890,6015,6281
Zm00001eb175540,450,159,461,831,847,344,710,421,406,731,597,609
Zm00001eb175550,78,59,54,63,121,98,472,625,176,208,256,214
Zm00001eb175580,14,4,5,0,0,11,7,4,8,0,0,8
Zm00001eb175560,1377,951,1203,1080,1826,1397,2544,2101,2160,1329,1881,1937
Zm00001eb175590,646,655,457,328,756,269,865,667,1044,311,520,431
Zm00001eb175610,24,11,31,16,46,10,37,42,25,13,47,16
Zm00001eb175600,25502,20474,15654,23346,30043,36996,26531,13163,20780,9413,14409,26994
Zm00001eb175620,948,755,715,1030,1483,1174,1332,843,1235,828,1071,1198
Zm00001eb175650,0,0,0,2,0,4,0,2,0,7,0,0
Zm00001eb175660,0,0,0,2,0,4,0,2,0,4,0,0
Zm00001eb175630,1965,1034,1301,1058,2137,1427,4578,4098,4355,2361,2979,2316
Zm00001eb175750,9,10,0,3,33,10,12,11,13,12,20,26
Zm00001eb175730,662,574,406,378,787,531,1341,978,1279,885,979,874
Zm00001eb175700,0,0,8,2,0,0,8,7,0,0,0,3
Zm00001eb175670,10118,8875,10796,6327,7767,9389,12670,14564,10699,6496,7744,7359
Zm00001eb175680,12,1,15,7,18,8,12,55,11,4,0,1
Zm00001eb175690,1,3,7,0,1,4,11,35,5,8,3,0
Zm00001eb175760,4824,3768,4610,3762,4600,5698,8572,6544,5304,4749,4123,4744
Zm00001eb175820,17,25,26,31,41,61,34,18,30,31,43,42
Zm00001eb175830,17,0,26,22,35,8,17,12,4,12,19,33
Zm00001eb175810,3636,2455,2514,2536,3449,2105,6132,4392,3966,1461,1848,2992
Zm00001eb175860,5,12,4,0,0,0,32,16,15,8,16,12
Zm00001eb175850,276,127,140,131,248,110,319,404,261,179,189,204
Zm00001eb175840,3760,3162,4050,3385,4696,4526,5811,5756,5178,2940,4296,4282
Zm00001eb175880,715,427,450,792,1192,792,1261,946,1000,769,809,1031
Zm00001eb175940,7,4,0,26,0,11,13,8,4,4,5,13
Zm00001eb175950,101,0,12,8,4,12,266,85,74,93,156,149
Zm00001eb175890,1263,787,671,1237,1978,1078,2660,1777,1717,887,1253,1472
Zm00001eb175900,20,4,11,19,28,32,27,25,22,37,15,10
Zm00001eb175970,189,62,101,87,96,113,384,354,246,289,416,476
Zm00001eb175960,3049,2407,3185,1784,2792,3129,3510,3243,3389,2025,2483,2618
Zm00001eb175990,16,17,3,0,8,0,61,45,62,59,4,41
Zm00001eb175980,2127,1730,2044,1816,2511,2134,3879,4054,2999,2794,2788,2845
Zm00001eb176000,247,122,191,156,373,169,407,279,560,440,602,558
Zm00001eb176030,29,0,16,8,15,22,74,77,20,41,56,12
Zm00001eb176040,3591,3930,3761,3725,4960,4176,5872,4772,5412,2882,4817,3966
Zm00001eb176050,853,748,841,713,1615,754,4548,3492,3000,2331,2149,1669
Zm00001eb176080,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb176070,551,236,426,141,498,259,929,811,1015,500,667,640
Zm00001eb176090,7149,5756,6617,6473,9233,9442,9758,7878,8227,6311,6584,6616
Zm00001eb176110,3079,813,801,1008,1103,433,4964,2921,7055,1204,853,1261
Zm00001eb176120,181,240,231,135,263,208,327,229,307,253,369,359
Zm00001eb176190,0,3,35,0,4,10,4,8,3,4,5,17
Zm00001eb176170,121,32,46,14,53,23,219,175,291,60,138,95
Zm00001eb176180,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb176200,224,113,182,91,226,175,424,457,609,188,357,346
Zm00001eb176160,4631,2037,2492,1622,4857,2858,23350,14999,14804,10450,10654,8294
Zm00001eb176220,591,604,525,732,759,756,772,530,474,99,298,608
Zm00001eb176250,5,7,6,8,36,22,22,7,22,8,16,45
Zm00001eb176210,2399,1468,1819,1717,2891,2663,3832,3042,3882,2428,3756,3260
Zm00001eb176260,5808,2700,3767,3098,6773,3918,7825,4173,6507,2749,3952,5104
Zm00001eb176270,1191,1008,1118,1056,1509,1518,1253,988,1231,1243,1344,1455
Zm00001eb176300,2451,2156,2467,2809,4017,3546,4090,3904,3493,2819,3052,3206
Zm00001eb176310,613,255,331,432,649,397,1109,1085,1186,656,1220,834
Zm00001eb176340,5528,4607,5374,4327,5292,5685,7362,7210,6209,3522,4469,4577
Zm00001eb176360,117,100,128,112,188,152,169,115,273,192,329,255
Zm00001eb176350,4097,2872,3542,2506,5075,4237,5843,5112,5545,4231,4968,4416
Zm00001eb176370,201,149,114,207,291,301,285,273,311,167,233,307
Zm00001eb176380,57,39,19,84,65,74,122,61,99,103,122,146
Zm00001eb176440,248,239,230,90,191,166,360,311,318,107,213,253
Zm00001eb176480,6,4,0,2,8,0,34,18,2,6,0,2
Zm00001eb176490,10,0,0,3,8,0,46,14,3,6,4,6
Zm00001eb176500,3,0,0,0,4,0,0,5,7,2,2,0
Zm00001eb176520,0,0,0,4,0,0,16,9,5,5,0,0
Zm00001eb176580,2,0,0,2,2,2,1,1,5,1,0,0
Zm00001eb176590,533,455,453,825,952,813,872,481,625,607,647,842
Zm00001eb176600,15,4,15,33,61,111,9,11,6,55,62,26
Zm00001eb176620,1191,446,620,588,1332,659,3733,3638,4695,1002,2014,1390
Zm00001eb176630,30,4,18,79,94,36,160,23,26,40,35,77
Zm00001eb176650,7,14,15,12,0,0,46,73,17,18,28,20
Zm00001eb176670,14,4,4,0,5,18,29,8,5,4,18,0
Zm00001eb176470,72822,61650,52460,108782,122608,112719,116461,80999,76800,27893,43042,68829
Zm00001eb176680,291,140,177,246,397,303,851,580,910,863,737,1204
Zm00001eb176720,23,0,0,0,0,0,239,181,171,42,50,19
Zm00001eb176710,811,485,646,442,1163,638,1384,1449,1555,1113,1142,1058
Zm00001eb176760,22,16,16,19,53,61,85,95,120,35,85,34
Zm00001eb176750,160,46,40,69,57,144,373,594,377,226,299,243
Zm00001eb176770,487,318,418,238,435,279,668,602,947,270,494,433
Zm00001eb176800,431,355,429,374,683,599,902,666,679,506,473,743
Zm00001eb176740,1636,1337,1675,1516,1866,1925,2259,1715,2104,1027,1520,1625
Zm00001eb176730,16045,11928,10144,21962,22637,26276,26808,19431,18877,15798,17148,24021
Zm00001eb176810,2149,1527,1799,1962,2491,2412,2847,2159,2634,964,1671,1665
Zm00001eb176880,0,2,16,20,18,17,11,32,5,34,5,24
Zm00001eb176890,0,0,6,0,13,0,0,0,0,0,0,0
Zm00001eb176850,9050,10656,12884,4220,5535,7112,12086,11206,11575,10225,6753,5754
Zm00001eb176900,1056,767,850,574,1304,1105,1593,1514,1665,1616,1671,1195
Zm00001eb176930,350,287,266,235,446,286,450,354,633,420,610,498
Zm00001eb176940,505,4,7,13,29,8,2474,1422,791,2692,1757,1782
Zm00001eb176950,539,369,503,549,798,712,777,694,655,380,501,649
Zm00001eb176990,0,0,0,0,9,0,4,0,0,1,2,0
Zm00001eb176980,9,0,0,0,0,0,24,4,21,31,12,0
Zm00001eb177000,415,292,328,164,220,120,653,599,419,143,81,101
Zm00001eb177010,52,59,46,40,76,31,132,128,72,74,68,97
Zm00001eb177020,8,7,7,33,14,41,1814,708,191,604,42,53
Zm00001eb177070,125,175,134,52,120,76,171,100,145,48,75,46
Zm00001eb177060,75,24,57,29,82,49,1236,705,500,564,284,93
Zm00001eb177080,0,0,0,0,0,4,2,0,0,2,0,8
Zm00001eb177090,87,97,121,42,105,222,193,195,127,25,66,101
Zm00001eb177100,298,324,339,235,356,299,383,430,394,233,164,222
Zm00001eb177110,9,0,12,7,18,26,14,12,21,0,31,50
Zm00001eb177120,616,423,403,644,664,212,1062,883,491,282,269,316
Zm00001eb177180,37,21,18,37,64,93,25,14,15,38,49,98
Zm00001eb177190,12,41,8,76,55,49,48,49,21,12,7,42
Zm00001eb177210,0,0,2,0,0,0,3,0,0,0,0,0
Zm00001eb177200,0,0,2,32,34,95,2,12,0,77,92,115
Zm00001eb177230,83,101,79,209,251,354,114,41,101,89,143,209
Zm00001eb177260,74,72,56,173,299,117,246,195,53,66,80,150
Zm00001eb177270,37,0,0,0,0,0,3474,2226,42,141,4,20
Zm00001eb177290,903,805,933,593,1018,868,922,830,955,440,691,838
Zm00001eb177320,9,0,0,8,9,30,10,0,2,0,20,25
Zm00001eb177310,336,92,209,100,339,222,308,443,569,139,321,368
Zm00001eb177150,21219,15677,19752,16219,20705,19419,30257,31472,26638,16648,17934,16674
Zm00001eb177160,0,0,0,0,0,0,0,0,1,0,0,0
Zm00001eb177330,983,678,553,561,1147,897,2056,1840,1998,1051,1134,1544
Zm00001eb177350,0,0,0,0,0,0,0,1,0,1,0,2
Zm00001eb177340,118,61,88,35,43,43,174,199,198,61,105,111
Zm00001eb177360,43,35,18,14,11,0,195,142,88,4,0,17
Zm00001eb177370,30,12,36,40,50,66,124,79,96,81,102,85
Zm00001eb177380,1810,1251,1689,1387,1726,1957,2187,2075,2111,1137,1438,1535
Zm00001eb177390,1135,829,1170,974,1904,1294,1432,2088,1572,1138,1352,1448
Zm00001eb177400,0,0,0,0,0,2,11,12,0,0,0,7
Zm00001eb177410,608,375,417,568,796,618,955,777,711,555,559,830
Zm00001eb177430,830,617,616,756,1351,873,1642,1334,1456,1318,1317,1172
Zm00001eb177440,1112,633,935,1281,2038,1371,2339,2000,2468,1463,2104,1861
Zm00001eb177480,2646,2855,2778,3722,4655,4077,3389,2350,2405,1788,2148,3523
Zm00001eb177450,8021,2776,4137,3818,6159,6045,18149,20581,15021,15395,12906,14537
Zm00001eb177490,1546,1354,1463,1253,2301,1764,2895,3317,2545,2645,2631,2458
Zm00001eb177500,0,0,5,5,10,5,6,11,2,3,5,2
Zm00001eb177510,4,13,11,9,22,17,30,54,8,20,31,20
Zm00001eb177520,558,234,410,164,420,204,2899,2939,2267,1298,1250,581
Zm00001eb177530,1858,1119,1337,1136,1499,1630,2782,2548,2254,1377,1673,1725
Zm00001eb177560,1492,1091,963,1231,1876,1335,2084,1554,2286,1029,1655,1393
Zm00001eb177610,31,49,22,30,47,53,59,41,62,45,17,35
Zm00001eb177620,0,0,14,0,0,0,0,3,0,0,0,0
Zm00001eb177630,2847,2582,3038,2258,4177,3301,2921,2428,3083,2351,2625,2313
Zm00001eb177650,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb177640,479,279,296,560,789,890,993,1055,974,524,722,589
Zm00001eb177710,0,2,2,0,2,2,2,6,2,3,2,0
Zm00001eb177690,155,111,127,182,189,206,358,179,239,242,468,985
Zm00001eb177700,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb177730,1,4,2,0,0,2,0,4,1,2,0,0
Zm00001eb177740,523,492,465,552,684,554,652,286,427,261,362,713
Zm00001eb177750,673,1092,969,810,886,917,1008,344,413,117,365,434
Zm00001eb177760,9,4,0,0,0,4,0,0,4,0,15,10
Zm00001eb177780,4,7,2,0,7,0,8,0,0,5,3,3
Zm00001eb177810,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb177670,11582,10878,11633,10724,10111,16781,18671,15773,14527,8724,9904,12422
Zm00001eb177820,691,585,620,751,965,1073,785,670,670,938,669,878
Zm00001eb177840,0,1,0,2,0,6,0,0,0,0,0,0
Zm00001eb177830,117,21,27,11,163,7,870,626,916,288,299,151
Zm00001eb177850,1099,733,785,1381,2206,1348,1549,1238,1569,839,1311,1365
Zm00001eb177860,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb177870,615,491,614,534,957,652,953,627,652,547,740,741
Zm00001eb177880,279,525,385,539,795,703,366,167,286,1026,981,802
Zm00001eb177900,2,2,8,0,14,4,0,0,8,4,4,0
Zm00001eb177920,907,879,744,749,1104,978,1007,853,924,816,949,935
Zm00001eb177930,2097,2030,1568,2453,3094,2705,3031,1885,2146,1639,2351,2843
Zm00001eb177940,1553,971,1163,922,1223,1218,2589,1951,2063,1394,1475,1644
Zm00001eb177980,255,112,146,98,157,115,297,301,515,174,354,283
Zm00001eb177990,8,3,6,4,7,1,19,15,2,7,3,2
Zm00001eb178020,3,0,4,0,0,0,10,7,0,0,2,9
Zm00001eb178030,33,9,22,9,31,24,42,24,38,66,7,38
Zm00001eb178010,1978,1472,1455,1518,3384,1527,3647,2946,3403,1845,2570,2556
Zm00001eb178040,403,339,322,302,438,395,468,445,286,191,320,311
Zm00001eb178060,0,0,0,0,9,0,8,8,6,8,0,0
Zm00001eb178070,72,50,74,42,88,92,85,85,98,71,136,176
Zm00001eb178080,0,2,1,4,8,6,2,3,1,1,4,0
Zm00001eb178090,0,1,1,3,6,7,2,1,0,3,7,0
Zm00001eb178120,91,32,29,48,35,56,73,118,180,41,90,107
Zm00001eb178110,769,345,404,413,812,622,1750,1606,1246,629,905,1015
Zm00001eb178130,18,7,29,31,8,10,42,56,23,34,14,27
Zm00001eb178140,936,527,550,741,1099,906,1267,904,1671,1246,1772,1462
Zm00001eb178170,15,12,17,0,0,0,0,101,59,0,0,0
Zm00001eb178160,15,12,21,590,945,697,852,166,59,563,554,754
Zm00001eb178180,283,56,89,151,298,185,3085,1535,1595,1418,1442,755
Zm00001eb178190,149,50,159,237,384,212,617,311,272,437,498,583
Zm00001eb178210,44,22,30,16,46,28,61,113,52,26,91,38
Zm00001eb178230,0,0,0,3,0,0,0,0,0,0,0,0
Zm00001eb178240,959,761,1063,688,1304,1113,1365,795,1175,576,767,907
Zm00001eb178270,12,0,4,0,7,4,67,32,43,114,88,156
Zm00001eb178250,1910,1334,1466,1380,2497,1671,2781,2582,2970,1941,2261,2411
Zm00001eb178280,556,524,573,1191,1364,1511,196,0,0,10,3,641
Zm00001eb178290,1220,1262,1452,998,1339,1369,1011,1139,861,467,697,786
Zm00001eb178320,4953,2235,3657,7410,12340,8083,19989,15627,8924,12996,8352,9856
Zm00001eb178340,176,111,177,86,285,114,662,661,1050,249,358,296
Zm00001eb178330,3400,3013,3337,3192,4330,4586,5715,5395,4325,3586,3986,3891
Zm00001eb178350,2255,2052,2097,1193,1530,1389,4521,2546,2672,819,1299,1666
Zm00001eb178360,100,21,43,17,52,10,1014,844,944,260,366,218
Zm00001eb178370,840,477,569,798,1585,873,2059,1515,1610,750,1063,1466
Zm00001eb178380,13,10,11,18,37,12,20,26,17,10,13,20
Zm00001eb178400,2370,1872,2586,2680,3626,3610,5707,5669,2711,3199,2500,3640
Zm00001eb178420,0,0,0,3,0,0,11,0,8,7,0,0
Zm00001eb178430,0,0,3,0,0,0,15,3,0,4,0,0
Zm00001eb178440,10,4,0,0,7,0,0,5,3,4,0,4
Zm00001eb178450,67,34,123,34,43,54,77,179,171,18,95,138
Zm00001eb178460,69,34,0,34,41,0,77,0,0,18,0,0
Zm00001eb178480,0,70,0,0,0,0,0,0,0,0,0,19
Zm00001eb178490,98,6,139,202,232,275,155,217,138,192,269,374
Zm00001eb178470,1614,1727,1904,1597,2515,2172,2048,1813,2018,1447,1733,1808
Zm00001eb178500,808,687,912,623,953,833,1207,1506,999,1028,901,879
Zm00001eb178520,3309,3062,3296,2885,3907,3853,4960,4579,4050,2793,3428,3342
Zm00001eb178550,49,44,32,104,218,83,858,520,449,198,150,110
Zm00001eb178560,162,116,161,96,186,114,205,119,329,103,237,174
Zm00001eb178540,2872,2974,3093,2515,4702,3891,3444,2696,2617,2573,3459,3252
Zm00001eb178570,81,55,53,25,60,36,146,152,124,100,34,79
Zm00001eb178580,353,190,220,201,427,311,676,727,662,432,482,479
Zm00001eb178590,722,519,614,605,949,805,1420,1195,1341,995,1120,1074
Zm00001eb178600,3,2,0,10,8,5,19,3,5,2,2,5
Zm00001eb178610,17,20,3,5,11,6,23,12,12,3,0,16
Zm00001eb178630,0,0,2,0,0,0,0,0,0,0,0,0
Zm00001eb178620,760,446,420,322,956,712,906,883,1391,694,1080,954
Zm00001eb178650,356,250,323,297,600,305,511,448,639,428,635,599
Zm00001eb178660,12,12,14,4,13,10,11,20,15,14,21,15
Zm00001eb178670,120,174,147,61,219,83,286,662,812,70,317,93
Zm00001eb178690,2796,2872,2893,1480,2731,1941,3669,4398,5639,1906,2679,1917
Zm00001eb178720,10,22,17,17,14,18,28,19,23,9,0,27
Zm00001eb178700,5687,6172,6020,6118,9392,7724,9790,6144,5391,4305,4479,6563
Zm00001eb178730,0,0,1,0,1,2,0,0,0,0,0,0
Zm00001eb178740,420,348,451,1069,1249,1253,522,265,337,483,533,998
Zm00001eb178750,54,22,46,19,37,34,41,78,16,22,41,11
Zm00001eb178760,9,11,13,18,30,10,34,30,17,3,9,11
Zm00001eb178770,14,4,7,0,0,0,19,8,16,5,0,0
Zm00001eb178780,0,0,0,8,0,8,4,0,0,4,0,0
Zm00001eb178790,3,3,1,12,14,43,23,16,43,21,13,13
Zm00001eb178800,0,0,0,10,0,13,0,21,0,10,18,5
Zm00001eb178830,0,3,6,0,0,0,0,4,3,3,4,4
Zm00001eb178810,1015,1040,1059,984,1287,1170,1527,1554,1031,777,982,1228
Zm00001eb178820,374,318,352,270,548,526,751,495,616,455,422,406
Zm00001eb178840,899,1219,899,69,101,98,769,484,561,72,68,144
Zm00001eb178900,66,33,28,37,70,55,167,218,258,57,100,146
Zm00001eb178890,682,203,983,185,530,225,2754,3454,3513,1803,2559,793
Zm00001eb178930,781,433,460,391,946,553,1169,864,1526,820,1041,1287
Zm00001eb178940,93,102,143,193,1512,90,1409,1458,4803,204,1924,228
Zm00001eb178960,233,152,157,205,259,218,462,477,359,310,271,314
Zm00001eb178970,22,14,5,7,27,9,119,91,89,13,47,58
Zm00001eb178980,5,11,8,10,22,8,99,70,111,27,31,25
Zm00001eb178990,10,0,0,15,40,15,427,71,76,99,22,65
Zm00001eb179000,10821,8201,7023,9675,16945,12855,13508,9366,11609,6957,10441,13584
Zm00001eb179010,836,545,871,500,785,547,1289,1120,1119,653,824,826
Zm00001eb179020,2662,2719,3012,3058,3894,3602,4838,4700,3996,3000,3619,3681
Zm00001eb179040,643,257,361,448,685,640,1126,902,1258,459,897,645
Zm00001eb179050,192,115,80,175,231,146,378,203,275,232,377,735
Zm00001eb179080,393,271,264,270,310,202,1119,730,978,248,318,554
Zm00001eb179070,45,26,68,32,163,85,217,99,71,43,131,141
Zm00001eb179120,45,37,21,28,61,43,171,226,100,96,67,47
Zm00001eb179090,6961,5225,5929,6017,10409,7465,8819,5529,7133,3991,5706,8230
Zm00001eb179130,757,755,684,538,646,727,1133,969,947,664,595,869
Zm00001eb179160,217,164,225,39,29,32,365,384,265,55,86,80
Zm00001eb179150,4,5,12,4,0,5,7,4,2,0,6,3
Zm00001eb179140,2723,2589,2649,2647,3360,3984,3873,2834,2472,2275,2521,3071
Zm00001eb179180,68,35,0,63,70,0,44,64,0,93,104,0
Zm00001eb179170,5324,5515,6633,5587,7228,6071,7852,7179,7289,6069,5717,6078
Zm00001eb179210,426,356,277,404,690,634,473,300,430,335,488,649
Zm00001eb179220,0,6,0,0,6,0,10,10,0,12,0,0
Zm00001eb179240,0,0,75,90,123,73,156,85,106,35,94,107
Zm00001eb179200,526,330,353,313,431,465,1110,490,426,327,201,310
Zm00001eb179190,6358,2391,3558,4034,5060,6368,18988,13204,11875,12678,10476,15296
Zm00001eb179260,3847,4258,4200,4512,6263,6418,3575,3648,3617,2952,4612,7260
Zm00001eb179270,0,0,38,0,0,0,0,0,0,0,0,0
Zm00001eb179280,192,113,225,180,182,207,1529,684,453,1094,486,511
Zm00001eb179290,439,494,518,548,734,663,772,365,413,173,470,513
Zm00001eb179300,6,7,3,10,17,5,21,13,11,12,3,14
Zm00001eb179310,1564,1068,1446,1399,2558,1754,3371,3435,3298,2185,3117,2349
Zm00001eb179320,16,0,3,16,15,9,28,22,98,9,44,10
Zm00001eb179330,1839,1822,2040,1997,3012,2650,2512,1873,2235,1957,2578,2101
Zm00001eb179360,73,57,93,91,130,121,114,106,124,50,98,89
Zm00001eb179340,2055,1820,2119,1428,2098,1876,3568,2752,2888,1794,1923,2033
Zm00001eb179400,21,8,16,7,12,0,56,59,23,41,21,19
Zm00001eb179390,637,460,613,597,655,787,722,690,616,380,454,709
Zm00001eb179440,43,72,86,50,96,45,157,141,110,75,141,88
Zm00001eb179480,0,0,0,4,0,0,0,3,0,10,6,0
Zm00001eb179470,2966,2701,3246,2586,3905,3912,5018,4490,3516,3216,3545,3301
Zm00001eb179510,515,299,346,564,849,675,800,594,692,880,807,1037
Zm00001eb179530,2024,1997,2219,1866,2153,2797,3652,2856,2439,2016,1927,2106
Zm00001eb179540,204,113,88,203,296,186,500,374,370,207,271,390
Zm00001eb179490,30412,19913,24730,27424,34864,45939,38333,24074,38392,30559,28447,32048
Zm00001eb179550,1041,873,942,798,1143,1006,1912,1607,1820,1194,1990,1845
Zm00001eb179590,151,143,178,166,167,201,241,89,108,163,140,188
Zm00001eb179570,9457,9299,8387,7456,10655,12719,7543,3871,5246,3923,4546,6686
Zm00001eb179630,10,19,31,17,28,25,8,8,10,8,3,7
Zm00001eb179640,0,0,0,0,0,0,0,0,0,4,0,0
Zm00001eb179650,0,0,0,0,0,7,6,16,14,24,22,8
Zm00001eb179600,2808,2353,2670,2427,4371,3589,3486,3495,3540,4123,5082,5271
Zm00001eb179610,0,4,0,4,9,11,6,9,0,27,13,13
Zm00001eb179670,0,0,0,0,0,4,0,0,0,4,0,0
Zm00001eb179660,5555,4514,5756,5446,6852,7897,6637,5713,5838,3231,4699,5033
Zm00001eb179690,700,889,834,1178,1892,1208,968,521,510,396,716,1221
Zm00001eb179700,449,372,563,211,433,380,786,591,513,497,384,368
Zm00001eb179710,154,19,49,86,208,154,303,232,244,364,354,437
Zm00001eb179720,3,0,8,10,6,6,5,0,6,10,3,3
Zm00001eb179680,195803,258541,203986,221769,238438,252730,196823,106734,115084,54090,64720,149158
Zm00001eb179730,1212,374,938,1169,1290,1771,3202,2684,2320,1743,2275,2175
Zm00001eb179760,27,21,24,7,11,29,38,45,47,22,14,35
Zm00001eb179750,1084,1134,1356,1137,1887,1646,1088,756,1188,816,1294,1235
Zm00001eb179780,0,0,0,0,0,0,15,5,0,7,7,8
Zm00001eb179810,14064,9839,9284,13007,15807,18849,15514,11301,14249,8769,10068,13861
Zm00001eb179830,436,213,237,170,221,141,917,631,411,270,387,472
Zm00001eb179820,2017,1166,1377,1325,2976,1565,4255,3396,5390,1843,3398,2096
Zm00001eb179840,74,38,27,43,51,67,113,150,168,103,92,113
Zm00001eb179850,9,0,0,6,10,8,8,2,31,4,0,18
Zm00001eb179860,0,0,0,23,18,68,9,13,39,18,25,12
Zm00001eb179870,305,137,240,127,324,193,754,421,470,280,218,437
Zm00001eb179880,0,0,0,0,0,0,0,0,0,17,0,0
Zm00001eb179920,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb179890,41,91,70,10,50,17,83,69,12,16,7,21
Zm00001eb179900,554,547,633,164,404,300,1003,1035,919,396,573,468
Zm00001eb179910,114,99,115,51,96,64,185,139,103,44,47,82
Zm00001eb179930,0,0,0,0,3,1,5,0,6,0,0,0
Zm00001eb179950,0,0,0,0,4,0,0,0,0,0,0,0
Zm00001eb179980,0,0,0,0,1,0,0,0,0,0,0,0
Zm00001eb179940,1269,1048,1065,951,1548,1576,1950,1650,1810,1818,1449,1128
Zm00001eb180020,0,0,0,12,0,0,7,0,12,17,0,4
Zm00001eb180030,0,0,0,0,0,6,0,4,15,5,6,4
Zm00001eb180060,395,95,204,312,3242,315,6837,8808,7859,1386,4791,1274
Zm00001eb180100,0,0,5,16,40,0,27,4,40,4,5,0
Zm00001eb180110,3,0,4,4,8,0,2,3,1,7,0,0
Zm00001eb180120,15,16,34,0,24,20,16,24,25,22,9,19
Zm00001eb180080,8438,8216,7663,7893,10569,10912,11313,9017,7752,3022,4373,6640
Zm00001eb180130,375,297,327,355,514,548,592,705,586,2171,1998,1784
Zm00001eb180150,270,335,397,395,495,379,342,237,189,103,120,189
Zm00001eb180190,0,0,0,0,0,0,0,0,0,2,0,0
Zm00001eb180180,27,7,6,63,50,64,26,20,21,74,65,62
Zm00001eb180200,106,79,124,152,199,131,139,72,92,82,85,93
Zm00001eb180260,41,4,19,8,23,19,24,90,29,10,33,47
Zm00001eb180220,575,484,633,544,1049,857,1109,1010,1059,865,873,1215
Zm00001eb180300,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb180290,1020,925,1019,730,1330,1055,1784,1735,1445,821,1028,1171
Zm00001eb180310,8,7,6,0,15,3,27,26,24,40,19,13
Zm00001eb180330,342,168,123,136,321,120,585,522,827,114,261,237
Zm00001eb180340,171,76,105,76,168,141,342,386,316,196,328,161
Zm00001eb180350,719,482,639,280,792,705,882,787,952,401,776,626
Zm00001eb180360,608,573,500,480,688,961,648,475,659,416,456,651
Zm00001eb180390,13,12,8,9,20,0,31,13,59,16,6,32
Zm00001eb180410,23,23,13,3,8,1,125,74,78,39,54,40
Zm00001eb180430,0,0,0,0,1,0,1,4,1,1,0,7
Zm00001eb180420,249,211,207,143,305,165,1047,1022,873,356,662,407
Zm00001eb180470,105,60,93,3808,6375,4821,884,479,463,2032,2985,5270
Zm00001eb180490,13,22,25,19,43,18,26,15,6,7,8,11
Zm00001eb180480,499,344,350,627,1141,723,1367,1080,984,1176,1047,880
Zm00001eb180520,1945,1239,1730,1592,2419,2370,3167,3495,3285,2023,2879,2533
Zm00001eb180530,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb180540,77,82,90,112,229,71,306,371,382,172,265,272
Zm00001eb180570,87,101,99,60,47,104,237,227,148,67,106,109
Zm00001eb180580,14,32,40,6,9,22,30,41,17,33,21,15
Zm00001eb180590,18,28,20,28,48,18,51,29,12,27,12,16
Zm00001eb180620,17,15,30,24,51,36,19,22,22,29,49,20
Zm00001eb180640,700,600,569,364,612,492,839,588,724,458,505,524
Zm00001eb180650,424,218,277,184,352,256,452,424,466,337,483,362
Zm00001eb180670,4665,2104,3226,6021,13399,12576,7386,8673,8301,5195,7143,6337
Zm00001eb180740,0,0,0,0,0,0,0,7,3,0,0,6
Zm00001eb180680,1099,905,1169,561,1007,768,1887,1847,1846,1078,965,1059
Zm00001eb180800,369,374,370,482,664,681,410,342,348,302,407,522
Zm00001eb180810,19,0,15,23,22,23,12,24,18,8,0,8
Zm00001eb180790,4044,3148,3822,4959,5903,5884,7079,7756,5900,4143,4753,4432
Zm00001eb180830,104,0,0,8,0,0,8061,2868,411,2876,731,289
Zm00001eb180870,212,322,246,240,317,268,417,255,385,91,203,158
Zm00001eb180850,859,535,824,841,1217,891,2291,1583,1277,1544,1139,1327
Zm00001eb180880,34,4,4,0,0,0,33,55,0,24,25,12
Zm00001eb180890,701,472,684,589,589,813,1292,1247,1015,875,914,1358
Zm00001eb180900,358,251,335,88,197,180,662,639,463,210,154,212
Zm00001eb180920,1251,970,999,1117,1749,1591,2433,1651,2064,726,1223,1827
Zm00001eb180950,906,729,816,922,1516,1007,3404,1952,1584,880,788,1301
Zm00001eb181010,0,0,0,0,0,0,0,0,0,0,2,0
Zm00001eb181020,22,33,20,17,73,40,42,34,42,38,67,41
Zm00001eb181030,1723,1100,853,1174,2271,1676,2465,1820,2510,1540,2839,2019
Zm00001eb181040,111,86,122,142,201,164,452,401,384,394,351,367
Zm00001eb181080,0,0,0,0,0,0,0,5,4,16,4,5
